% ARFF file produced for W4705 HW2 assignment
% Generated: 2007-10-25 05:12:49.968750

@RELATION       source_type

@ATTRIBUTE      text_length     numeric
@ATTRIBUTE      asciihigh_cnt   numeric
@ATTRIBUTE      caps_cnt        numeric
@ATTRIBUTE      BN1_cnt         numeric
@ATTRIBUTE      NWIRE1_cnt      numeric
@ATTRIBUTE      BN2_cnt         numeric
@ATTRIBUTE      NWIRE2_cnt      numeric
@ATTRIBUTE      BN3_cnt         numeric
@ATTRIBUTE      NWIRE3_cnt      numeric
@ATTRIBUTE      class           {BN, NWIRE}


@DATA
959, 12, 17, 46, 11, 0, 0, 0, 0, NWIRE
1301, 116, 32, 53, 6, 1, 0, 0, 0, NWIRE
7044, 0, 245, 413, 77, 3, 4, 1, 0, NWIRE
6301, 0, 301, 356, 47, 4, 9, 0, 1, NWIRE
2126, 0, 72, 129, 23, 0, 0, 0, 1, NWIRE
1829, 0, 102, 82, 29, 0, 4, 0, 0, NWIRE
2552, 0, 88, 145, 21, 0, 2, 1, 2, NWIRE
1505, 0, 82, 78, 15, 0, 2, 0, 0, NWIRE
2718, 0, 97, 150, 25, 1, 1, 4, 1, NWIRE
578, 0, 14, 32, 6, 0, 0, 0, 0, NWIRE
2730, 0, 91, 178, 28, 1, 0, 0, 0, NWIRE
783, 0, 17, 51, 7, 1, 0, 0, 0, NWIRE
2687, 0, 103, 183, 34, 2, 1, 0, 2, NWIRE
3028, 0, 105, 196, 34, 1, 0, 1, 0, NWIRE
1889, 0, 74, 110, 15, 0, 5, 0, 1, NWIRE
247, 0, 15, 9, 5, 0, 0, 1, 0, NWIRE
4827, 0, 129, 261, 50, 0, 1, 0, 1, NWIRE
1572, 0, 43, 99, 29, 0, 2, 0, 0, NWIRE
1111, 0, 36, 60, 13, 3, 0, 2, 0, NWIRE
3927, 0, 169, 226, 36, 3, 6, 3, 2, NWIRE
197, 0, 12, 9, 1, 0, 3, 0, 0, NWIRE
6665, 0, 301, 376, 52, 5, 7, 0, 2, NWIRE
2411, 0, 66, 140, 21, 5, 3, 2, 0, NWIRE
2319, 50, 34, 111, 26, 0, 1, 0, 0, NWIRE
2014, 60, 43, 81, 17, 0, 0, 0, 0, NWIRE
3548, 82, 132, 203, 47, 0, 1, 0, 0, NWIRE
1192, 56, 11, 46, 9, 0, 1, 0, 0, NWIRE
643, 6, 5, 26, 6, 0, 0, 0, 0, NWIRE
688, 6, 10, 29, 7, 0, 0, 0, 0, NWIRE
962, 18, 12, 41, 14, 0, 0, 0, 0, NWIRE
1599, 20, 24, 93, 12, 0, 0, 0, 0, NWIRE
2392, 26, 59, 89, 27, 0, 0, 0, 0, NWIRE
3237, 58, 88, 136, 32, 1, 1, 0, 0, NWIRE
4289, 76, 41, 195, 43, 0, 0, 0, 0, NWIRE
896, 0, 7, 45, 14, 0, 1, 0, 0, NWIRE
4157, 18, 52, 234, 41, 0, 0, 0, 0, NWIRE
5561, 94, 178, 277, 54, 0, 1, 0, 0, NWIRE
4159, 26, 34, 208, 44, 0, 1, 0, 0, NWIRE
3178, 24, 37, 186, 41, 0, 0, 0, 1, NWIRE
3065, 38, 25, 123, 40, 0, 2, 0, 0, NWIRE
2487, 6, 25, 104, 18, 0, 11, 0, 0, NWIRE
3516, 50, 43, 178, 41, 0, 2, 0, 1, NWIRE
2721, 40, 33, 112, 28, 0, 0, 0, 0, NWIRE
1573, 16, 15, 64, 23, 0, 0, 0, 0, NWIRE
2048, 78, 25, 92, 18, 0, 0, 0, 0, NWIRE
379, 4, 3, 25, 8, 0, 0, 0, 0, NWIRE
7482, 102, 114, 467, 67, 1, 1, 0, 0, NWIRE
4697, 34, 109, 208, 38, 0, 1, 0, 0, NWIRE
2597, 12, 51, 147, 23, 0, 0, 0, 0, NWIRE
865, 0, 14, 46, 19, 0, 0, 0, 0, NWIRE
2195, 28, 19, 104, 12, 0, 0, 0, 0, NWIRE
4349, 106, 126, 148, 31, 0, 2, 0, 0, NWIRE
1059, 20, 10, 41, 7, 0, 0, 0, 0, NWIRE
2183, 6, 31, 62, 17, 0, 0, 0, 0, NWIRE
4778, 18, 42, 235, 38, 1, 0, 0, 0, NWIRE
1373, 10, 10, 74, 13, 0, 1, 0, 0, NWIRE
4041, 62, 28, 206, 52, 0, 0, 0, 0, NWIRE
7722, 0, 0, 518, 117, 2, 7, 0, 6, NWIRE
4304, 0, 0, 255, 47, 1, 2, 0, 2, NWIRE
3769, 0, 0, 245, 46, 1, 8, 0, 0, NWIRE
9047, 8, 3, 520, 115, 5, 9, 0, 4, NWIRE
4630, 0, 3, 312, 49, 2, 4, 2, 1, NWIRE
6413, 0, 3, 413, 67, 1, 10, 0, 2, NWIRE
7760, 0, 0, 472, 66, 6, 11, 0, 3, NWIRE
6233, 0, 0, 412, 70, 0, 4, 0, 0, NWIRE
3622, 0, 6, 247, 52, 4, 6, 0, 0, NWIRE
2212, 0, 0, 139, 34, 0, 1, 1, 0, NWIRE
4400, 0, 0, 304, 40, 2, 4, 0, 5, NWIRE
1139, 0, 0, 68, 14, 0, 1, 0, 3, NWIRE
5079, 0, 0, 289, 52, 1, 8, 0, 8, NWIRE
2828, 0, 0, 149, 34, 1, 4, 0, 3, NWIRE
1656, 0, 0, 97, 13, 0, 2, 0, 0, NWIRE
3238, 0, 0, 193, 28, 0, 3, 0, 4, NWIRE
2442, 0, 0, 139, 33, 1, 3, 0, 1, NWIRE
2711, 0, 0, 169, 45, 1, 1, 0, 0, NWIRE
4681, 0, 0, 258, 51, 2, 3, 0, 4, NWIRE
346, 0, 0, 23, 3, 2, 1, 0, 1, NWIRE
3707, 0, 0, 201, 37, 4, 4, 0, 1, NWIRE
1536, 0, 0, 99, 16, 3, 2, 0, 0, NWIRE
1918, 0, 0, 113, 21, 2, 2, 0, 2, NWIRE
2363, 0, 0, 135, 24, 2, 0, 0, 2, NWIRE
923, 0, 0, 68, 11, 0, 2, 0, 1, NWIRE
960, 0, 0, 54, 7, 0, 0, 0, 1, NWIRE
1290, 0, 0, 77, 19, 0, 2, 0, 1, NWIRE
6561, 0, 0, 404, 46, 1, 4, 0, 1, NWIRE
10880, 0, 0, 616, 108, 3, 8, 0, 4, NWIRE
3559, 0, 0, 221, 30, 0, 5, 0, 2, NWIRE
4096, 0, 0, 256, 47, 1, 11, 0, 1, NWIRE
2207, 0, 0, 132, 27, 2, 1, 0, 2, NWIRE
2162, 14, 40, 132, 21, 0, 2, 0, 0, NWIRE
2456, 18, 39, 118, 24, 0, 0, 0, 0, NWIRE
2051, 54, 39, 106, 30, 0, 4, 0, 0, NWIRE
2023, 28, 20, 100, 36, 0, 0, 0, 0, NWIRE
1067, 0, 23, 50, 9, 0, 0, 0, 0, NWIRE
2082, 0, 43, 79, 23, 3, 1, 0, 0, NWIRE
1645, 8, 40, 82, 10, 0, 0, 0, 0, NWIRE
6848, 80, 103, 416, 55, 1, 3, 0, 0, NWIRE
5102, 74, 72, 231, 38, 1, 2, 0, 0, NWIRE
2228, 48, 18, 113, 9, 0, 1, 0, 0, NWIRE
3249, 42, 63, 175, 34, 0, 0, 0, 0, NWIRE
3258, 16, 89, 186, 36, 0, 1, 0, 0, NWIRE
1908, 0, 64, 82, 19, 0, 0, 0, 0, NWIRE
2062, 16, 33, 75, 13, 0, 0, 0, 0, NWIRE
994, 36, 19, 42, 12, 0, 0, 0, 0, NWIRE
3361, 12, 53, 188, 30, 0, 1, 0, 0, NWIRE
1203, 50, 16, 53, 14, 0, 0, 0, 0, NWIRE
2153, 46, 33, 131, 28, 1, 0, 0, 0, NWIRE
13905, 134, 270, 774, 127, 3, 2, 0, 0, NWIRE
1419, 8, 37, 54, 8, 0, 0, 0, 0, NWIRE
56, 0, 2, 1, 2, 0, 0, 0, 0, NWIRE
360, 8, 14, 20, 4, 0, 0, 0, 0, NWIRE
1288, 0, 19, 60, 20, 1, 0, 0, 0, NWIRE
1779, 10, 32, 105, 19, 1, 1, 0, 0, NWIRE
2578, 30, 26, 156, 28, 0, 0, 0, 0, NWIRE
5303, 22, 67, 203, 60, 2, 0, 0, 0, NWIRE
2334, 50, 49, 124, 25, 0, 0, 0, 0, NWIRE
811, 6, 16, 27, 10, 0, 0, 0, 0, NWIRE
1783, 54, 35, 94, 21, 0, 0, 0, 0, NWIRE
426, 4, 6, 19, 9, 2, 0, 1, 0, NWIRE
3631, 26, 29, 221, 33, 1, 1, 0, 0, NWIRE
1, 0, 0, 0, 0, 0, 0, 0, 0, NWIRE
4903, 0, 150, 313, 53, 0, 5, 1, 0, NWIRE
3504, 0, 123, 237, 26, 0, 3, 0, 0, NWIRE
3343, 0, 86, 195, 60, 1, 9, 0, 1, NWIRE
1196, 0, 23, 70, 9, 0, 1, 0, 0, NWIRE
690, 0, 14, 36, 10, 0, 1, 0, 0, NWIRE
978, 0, 21, 56, 10, 0, 2, 0, 0, NWIRE
7174, 0, 233, 394, 67, 4, 0, 0, 3, NWIRE
1047, 0, 30, 59, 15, 0, 0, 0, 0, NWIRE
367, 0, 13, 17, 6, 0, 0, 0, 0, NWIRE
4887, 0, 150, 311, 53, 0, 5, 1, 0, NWIRE
1725, 0, 52, 82, 27, 1, 1, 0, 0, NWIRE
5314, 0, 169, 282, 64, 1, 4, 0, 0, NWIRE
5451, 0, 177, 298, 66, 1, 4, 0, 0, NWIRE
5125, 0, 155, 307, 58, 1, 4, 3, 0, NWIRE
5471, 0, 177, 299, 67, 1, 4, 0, 0, NWIRE
2479, 0, 64, 110, 24, 1, 0, 0, 0, NWIRE
1112, 0, 32, 54, 9, 0, 2, 0, 0, NWIRE
5338, 0, 175, 300, 68, 1, 5, 0, 0, NWIRE
1, 0, 0, 0, 0, 0, 0, 0, 0, NWIRE
2059, 16, 23, 98, 29, 0, 1, 0, 1, NWIRE
839, 12, 7, 41, 14, 0, 0, 0, 0, NWIRE
1512, 8, 22, 58, 16, 0, 0, 0, 0, NWIRE
1851, 22, 17, 92, 22, 0, 1, 0, 0, NWIRE
1141, 24, 18, 55, 15, 0, 0, 0, 0, NWIRE
1227, 16, 9, 83, 28, 0, 1, 0, 0, NWIRE
1636, 38, 14, 79, 20, 0, 0, 0, 0, NWIRE
1929, 48, 20, 108, 25, 0, 2, 0, 0, NWIRE
671, 20, 7, 51, 8, 0, 0, 0, 0, NWIRE
1789, 32, 25, 112, 29, 0, 0, 0, 0, NWIRE
1560, 16, 18, 84, 18, 0, 1, 0, 0, NWIRE
1230, 0, 29, 56, 16, 0, 0, 0, 0, NWIRE
2373, 16, 51, 109, 19, 0, 0, 0, 0, NWIRE
794, 2, 24, 43, 5, 0, 0, 0, 0, NWIRE
1, 0, 0, 0, 0, 0, 0, 0, 0, NWIRE
352, 0, 0, 29, 7, 0, 0, 0, 0, BN
743, 0, 0, 33, 5, 2, 2, 0, 0, BN
2139, 0, 0, 118, 12, 0, 1, 0, 0, BN
623, 0, 0, 28, 12, 1, 0, 0, 0, BN
1607, 0, 0, 105, 19, 1, 4, 0, 2, BN
1661, 0, 0, 96, 12, 0, 2, 0, 0, BN
938, 0, 0, 45, 14, 1, 0, 0, 0, BN
881, 0, 0, 53, 4, 0, 0, 0, 1, BN
603, 0, 0, 36, 7, 0, 0, 0, 0, BN
617, 0, 0, 42, 4, 1, 0, 0, 0, BN
504, 0, 0, 25, 4, 1, 0, 0, 0, BN
590, 0, 0, 35, 6, 1, 0, 0, 0, BN
487, 0, 0, 28, 5, 0, 1, 0, 0, BN
665, 0, 0, 44, 6, 0, 1, 0, 0, BN
481, 0, 0, 21, 2, 0, 0, 0, 0, BN
637, 0, 0, 51, 8, 0, 0, 0, 0, BN
531, 0, 0, 33, 8, 0, 1, 0, 0, BN
495, 0, 0, 29, 4, 0, 0, 0, 0, BN
841, 0, 0, 43, 12, 0, 2, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
477, 0, 0, 27, 5, 0, 0, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
1457, 0, 0, 77, 15, 0, 1, 0, 1, BN
1496, 0, 0, 92, 14, 0, 4, 0, 0, BN
1276, 0, 0, 89, 9, 0, 0, 0, 0, BN
1192, 0, 0, 75, 8, 1, 4, 0, 1, BN
4085, 0, 0, 274, 32, 2, 9, 0, 0, BN
3917, 0, 0, 271, 45, 0, 2, 0, 1, BN
2822, 0, 0, 169, 31, 1, 1, 0, 1, BN
2944, 0, 0, 172, 25, 0, 1, 0, 0, BN
270, 0, 0, 19, 1, 0, 0, 0, 0, BN
2089, 0, 0, 110, 20, 0, 1, 0, 0, BN
2853, 0, 0, 174, 45, 2, 4, 0, 3, BN
460, 0, 0, 35, 5, 0, 0, 0, 0, BN
381, 0, 0, 16, 2, 0, 1, 0, 0, BN
2718, 0, 0, 146, 27, 1, 3, 0, 2, NWIRE
2821, 0, 0, 175, 29, 1, 8, 0, 1, NWIRE
1613, 0, 0, 95, 13, 0, 1, 0, 2, NWIRE
1391, 0, 0, 77, 24, 0, 5, 0, 0, NWIRE
1384, 0, 0, 72, 15, 1, 2, 0, 1, NWIRE
4405, 0, 0, 252, 45, 5, 6, 0, 3, NWIRE
2252, 0, 0, 140, 24, 1, 0, 0, 0, NWIRE
2827, 0, 0, 155, 27, 0, 2, 0, 1, NWIRE
2126, 0, 0, 135, 22, 0, 7, 1, 1, NWIRE
2786, 0, 0, 153, 30, 1, 4, 0, 0, NWIRE
4356, 0, 0, 289, 53, 2, 7, 0, 2, NWIRE
1202, 0, 0, 74, 16, 0, 1, 0, 0, NWIRE
1314, 0, 0, 98, 27, 2, 3, 0, 0, NWIRE
878, 0, 0, 64, 9, 2, 3, 0, 1, NWIRE
1407, 0, 0, 76, 13, 1, 1, 0, 2, NWIRE
1437, 0, 0, 82, 18, 2, 2, 0, 0, NWIRE
8689, 0, 0, 520, 108, 2, 11, 0, 3, NWIRE
4403, 0, 0, 253, 57, 0, 13, 0, 3, NWIRE
5495, 0, 0, 337, 54, 4, 4, 0, 0, NWIRE
2529, 0, 0, 153, 31, 1, 5, 0, 1, NWIRE
2800, 0, 0, 139, 38, 1, 1, 0, 1, NWIRE
2083, 0, 0, 126, 18, 1, 1, 0, 1, NWIRE
411, 0, 0, 16, 7, 0, 1, 0, 0, NWIRE
2578, 0, 0, 160, 31, 2, 2, 0, 1, NWIRE
1362, 0, 0, 79, 20, 0, 5, 0, 1, NWIRE
2288, 0, 0, 111, 27, 0, 5, 0, 5, NWIRE
1088, 0, 3, 66, 19, 0, 1, 0, 0, NWIRE
1154, 0, 0, 73, 20, 2, 2, 0, 1, NWIRE
1118, 0, 0, 87, 15, 0, 2, 0, 1, NWIRE
765, 0, 0, 54, 9, 0, 0, 0, 0, NWIRE
7864, 0, 0, 520, 87, 4, 12, 0, 3, NWIRE
3856, 0, 0, 227, 38, 4, 10, 0, 8, NWIRE
1896, 0, 0, 113, 25, 0, 1, 0, 2, NWIRE
1989, 0, 0, 121, 32, 0, 3, 0, 1, NWIRE
1001, 0, 0, 53, 13, 0, 0, 0, 1, NWIRE
704, 0, 0, 37, 8, 0, 0, 0, 0, NWIRE
589, 0, 0, 24, 9, 0, 2, 0, 3, NWIRE
2193, 0, 0, 119, 31, 1, 4, 0, 1, NWIRE
2132, 0, 0, 106, 25, 0, 0, 0, 2, NWIRE
2613, 0, 0, 146, 17, 0, 3, 0, 0, NWIRE
769, 0, 0, 34, 11, 0, 0, 0, 0, NWIRE
553, 0, 0, 35, 9, 0, 1, 0, 1, NWIRE
1328, 0, 3, 81, 19, 1, 2, 0, 3, NWIRE
3871, 0, 0, 241, 37, 1, 3, 0, 0, NWIRE
2539, 0, 0, 154, 26, 1, 3, 0, 0, NWIRE
847, 0, 0, 56, 12, 2, 2, 0, 1, NWIRE
1294, 0, 0, 71, 13, 1, 2, 0, 0, NWIRE
422, 0, 0, 19, 5, 0, 1, 0, 0, NWIRE
939, 0, 0, 49, 7, 0, 1, 0, 0, NWIRE
633, 0, 0, 31, 4, 0, 0, 0, 0, NWIRE
4625, 0, 0, 290, 51, 0, 3, 0, 2, NWIRE
1257, 12, 20, 56, 7, 0, 5, 0, 0, NWIRE
835, 8, 33, 25, 11, 0, 0, 0, 0, NWIRE
3368, 0, 48, 154, 41, 0, 0, 0, 0, NWIRE
1969, 16, 33, 107, 17, 1, 0, 0, 1, NWIRE
4157, 18, 52, 234, 41, 0, 0, 0, 0, NWIRE
2728, 8, 76, 140, 26, 0, 1, 0, 0, NWIRE
4589, 126, 71, 184, 48, 0, 1, 0, 0, NWIRE
4713, 44, 44, 219, 81, 0, 0, 0, 0, NWIRE
3438, 12, 36, 177, 39, 0, 2, 0, 0, NWIRE
4567, 6, 74, 223, 30, 0, 1, 0, 0, NWIRE
10113, 128, 203, 510, 117, 3, 27, 0, 0, NWIRE
8303, 26, 132, 371, 59, 1, 0, 0, 0, NWIRE
4260, 36, 43, 188, 55, 0, 0, 0, 0, NWIRE
9764, 30, 134, 596, 85, 0, 0, 0, 0, NWIRE
4706, 54, 88, 217, 47, 0, 0, 0, 0, NWIRE
11813, 98, 280, 608, 119, 0, 2, 0, 0, NWIRE
3343, 24, 30, 180, 21, 0, 1, 0, 0, NWIRE
6718, 66, 96, 350, 90, 0, 4, 0, 0, NWIRE
9481, 22, 183, 415, 80, 0, 2, 0, 0, NWIRE
6343, 68, 47, 338, 70, 1, 2, 0, 0, NWIRE
8534, 74, 169, 403, 66, 1, 1, 0, 0, NWIRE
16956, 82, 252, 782, 165, 0, 5, 0, 0, NWIRE
2728, 8, 76, 140, 26, 0, 1, 0, 0, NWIRE
1573, 16, 15, 64, 23, 0, 0, 0, 0, NWIRE
5006, 82, 131, 235, 53, 1, 1, 0, 0, NWIRE
4589, 126, 71, 184, 48, 0, 1, 0, 0, NWIRE
1780, 28, 42, 74, 19, 0, 2, 0, 0, NWIRE
2517, 24, 50, 104, 31, 0, 0, 0, 0, NWIRE
896, 14, 13, 40, 10, 0, 0, 0, 0, NWIRE
446, 8, 8, 15, 8, 0, 0, 0, 0, NWIRE
1640, 14, 28, 70, 18, 0, 1, 0, 0, NWIRE
1683, 14, 22, 85, 14, 0, 0, 0, 0, NWIRE
3937, 98, 52, 202, 56, 0, 10, 0, 0, NWIRE
3266, 42, 54, 151, 44, 0, 0, 0, 0, NWIRE
5518, 12, 96, 268, 56, 0, 1, 0, 0, NWIRE
57, 0, 0, 6, 0, 0, 0, 0, 0, BN
1055, 0, 0, 61, 9, 1, 0, 1, 0, BN
332, 0, 0, 27, 5, 1, 0, 0, 0, BN
134, 0, 0, 11, 1, 0, 1, 0, 0, BN
314, 0, 0, 18, 3, 1, 0, 1, 0, BN
310, 0, 0, 14, 6, 0, 0, 0, 0, BN
2027, 0, 0, 138, 41, 1, 3, 0, 0, BN
114, 0, 0, 6, 3, 0, 0, 0, 0, BN
936, 0, 0, 60, 4, 1, 0, 0, 0, BN
505, 0, 0, 25, 3, 0, 1, 0, 0, BN
513, 0, 0, 31, 6, 0, 1, 0, 0, BN
465, 0, 0, 25, 7, 0, 0, 0, 0, BN
473, 0, 0, 33, 3, 1, 0, 0, 0, BN
58, 0, 0, 4, 1, 0, 1, 0, 0, BN
1048, 0, 0, 68, 8, 1, 1, 0, 0, BN
130, 0, 0, 5, 0, 0, 0, 0, 0, BN
652, 0, 0, 46, 5, 1, 0, 0, 0, BN
545, 0, 0, 33, 5, 0, 0, 0, 0, BN
505, 0, 0, 35, 5, 0, 0, 0, 0, BN
1249, 0, 0, 91, 26, 0, 2, 0, 0, BN
162, 0, 0, 6, 0, 0, 0, 0, 0, BN
329, 0, 0, 23, 4, 2, 0, 0, 0, BN
857, 0, 0, 50, 7, 0, 1, 0, 0, BN
228, 0, 0, 8, 4, 0, 0, 0, 0, BN
152, 0, 0, 4, 2, 0, 0, 0, 0, BN
168, 0, 0, 10, 0, 0, 1, 0, 0, BN
185, 0, 0, 15, 0, 0, 0, 0, 0, BN
133, 0, 0, 6, 0, 1, 0, 0, 0, BN
488, 0, 0, 27, 4, 0, 0, 0, 0, BN
94, 0, 0, 4, 2, 0, 0, 0, 0, BN
563, 0, 0, 37, 3, 1, 0, 0, 0, BN
860, 0, 0, 54, 10, 3, 1, 0, 0, BN
589, 0, 0, 27, 8, 0, 0, 0, 0, BN
987, 0, 0, 54, 7, 6, 2, 0, 0, BN
629, 0, 0, 31, 4, 0, 1, 0, 0, BN
2756, 0, 0, 146, 24, 0, 3, 0, 0, BN
158, 0, 0, 16, 0, 0, 0, 0, 0, BN
840, 16, 40, 28, 19, 0, 0, 0, 0, NWIRE
1963, 32, 41, 90, 17, 0, 0, 0, 0, NWIRE
1855, 20, 41, 89, 13, 0, 0, 0, 0, NWIRE
1751, 12, 26, 101, 12, 0, 0, 0, 0, NWIRE
590, 26, 24, 22, 9, 0, 0, 0, 0, NWIRE
919, 8, 29, 25, 4, 0, 0, 0, 0, NWIRE
4959, 116, 158, 219, 84, 0, 7, 0, 0, NWIRE
4139, 34, 100, 182, 43, 0, 1, 0, 0, NWIRE
1781, 26, 20, 82, 14, 0, 0, 0, 0, NWIRE
2136, 20, 44, 119, 22, 0, 1, 0, 0, NWIRE
3450, 70, 76, 202, 27, 0, 0, 1, 0, NWIRE
857, 8, 16, 39, 15, 0, 0, 0, 0, NWIRE
2548, 4, 53, 115, 22, 0, 0, 0, 0, NWIRE
1635, 22, 31, 70, 15, 0, 0, 0, 0, NWIRE
1699, 70, 40, 70, 23, 0, 0, 0, 0, NWIRE
3448, 8, 47, 193, 24, 0, 1, 0, 0, NWIRE
4623, 70, 78, 201, 68, 0, 3, 0, 0, NWIRE
2346, 2, 34, 121, 21, 0, 0, 0, 0, NWIRE
1592, 0, 27, 91, 11, 1, 0, 0, 0, NWIRE
4038, 18, 57, 176, 33, 0, 0, 0, 0, NWIRE
5646, 0, 161, 309, 56, 2, 3, 2, 2, NWIRE
4773, 0, 131, 281, 65, 0, 8, 0, 0, NWIRE
7096, 0, 216, 406, 94, 4, 7, 5, 1, NWIRE
5205, 0, 144, 309, 57, 2, 4, 2, 1, NWIRE
4761, 0, 202, 223, 39, 0, 6, 0, 0, NWIRE
7201, 0, 121, 401, 70, 1, 1, 1, 0, NWIRE
9841, 0, 261, 585, 99, 3, 4, 1, 2, NWIRE
598, 4, 9, 23, 2, 0, 0, 0, 0, BN
1098, 6, 13, 43, 11, 1, 0, 0, 0, BN
777, 20, 14, 29, 10, 0, 0, 0, 0, BN
672, 0, 15, 29, 4, 0, 0, 0, 0, BN
535, 4, 19, 22, 4, 0, 0, 0, 0, BN
494, 12, 8, 21, 5, 0, 0, 0, 0, BN
494, 6, 9, 19, 2, 0, 0, 0, 0, BN
571, 4, 5, 25, 5, 0, 0, 0, 0, BN
2635, 8, 93, 120, 33, 2, 0, 1, 0, BN
883, 0, 19, 32, 8, 2, 0, 1, 0, BN
1013, 50, 27, 35, 11, 0, 0, 0, 0, BN
901, 12, 21, 37, 12, 2, 0, 1, 0, BN
951, 0, 17, 32, 11, 0, 0, 0, 0, BN
35, 0, 1, 1, 0, 0, 0, 0, 0, BN
3455, 20, 63, 140, 34, 3, 0, 2, 0, BN
123, 0, 1, 2, 2, 0, 0, 0, 0, BN
722, 0, 17, 36, 4, 2, 0, 1, 0, BN
1108, 24, 8, 58, 6, 1, 0, 0, 0, BN
1258, 4, 41, 46, 9, 1, 0, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
1, 0, 0, 0, 0, 0, 0, 0, 0, BN
3429, 8, 91, 209, 27, 4, 0, 2, 0, BN
3353, 16, 59, 118, 34, 0, 0, 0, 0, BN
5955, 0, 169, 376, 39, 3, 3, 1, 1, NWIRE
3341, 0, 164, 178, 41, 0, 3, 1, 1, NWIRE
4771, 0, 140, 293, 51, 1, 5, 2, 1, NWIRE
6325, 0, 150, 387, 76, 0, 7, 1, 0, NWIRE
11707, 0, 300, 620, 122, 2, 12, 1, 2, NWIRE
8804, 0, 233, 497, 100, 3, 4, 0, 0, NWIRE
3931, 0, 152, 237, 40, 0, 3, 1, 0, NWIRE
5803, 0, 74, 308, 53, 2, 3, 0, 0, NWIRE
3175, 0, 77, 218, 29, 4, 1, 0, 0, NWIRE
4977, 0, 120, 296, 52, 1, 5, 0, 0, NWIRE
2266, 0, 61, 132, 29, 1, 1, 0, 0, NWIRE
3759, 0, 101, 215, 29, 1, 3, 2, 1, NWIRE
4044, 0, 93, 278, 51, 2, 4, 1, 0, NWIRE
4157, 0, 134, 268, 36, 4, 3, 2, 0, NWIRE
